id,abbr,name,publisher,url,rank,type,category
1,TOCS,ACM Transactions on Computer Systems,ACM,https://dblp.org/db/journals/tocs/,A,Journal,1
2,TOS,ACM Transactions on Storage,ACM,https://dblp.org/db/journals/tos/,A,Journal,1
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE,https://dblp.org/db/journals/tcad/,A,Journal,1
4,TC,IEEE Transactions on Computers,IEEE,https://dblp.org/db/journals/tc/index.html,A,Journal,1
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,https://dblp.org/db/journals/tpds/,A,Journal,1
6,TACO,ACM Transactions on Architecture and Code Optimization,ACM,https://dblp.org/db/journals/taco/,A,Journal,1
7,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,https://dblp.org/db/journals/taas/,B,Journal,1
8,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,https://dblp.org/db/journals/todaes/,B,Journal,1
9,TECS,ACM Transactions on Embedded Computing Systems,ACM,https://dblp.org/db/journals/tecs/,B,Journal,1
10,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,https://dblp.org/db/journals/trets/,B,Journal,1
11,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,https://dblp.org/db/journals/tvlsi/,B,Journal,1
12,JPDC,Journal of Parallel and Distributed Computing,Elsevier,https://dblp.org/db/journals/jpdc/,B,Journal,1
13,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,https://dblp.org/db/journals/jsa/,B,Journal,1
14,,Parallel Computing,Elsevier,https://dblp.org/db/journals/pc/index.html,B,Journal,1
15,,Performance Evaluation: An International Journal,Elsevier,https://dblp.org/db/journals/pe/index.html,B,Journal,1
16,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.org/db/journals/tcc/,B,Journal,1
17,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,https://dblp.org/db/journals/jetc/,C,Journal,1
18,,Concurrency and Computation: Practice and Experience,Wiley,https://dblp.org/db/journals/concurrency/,C,Journal,1
19,DC,Distributed Computing,Springer,https://dblp.org/db/journals/dc/,C,Journal,1
20,FGCS,Future Generation Computer Systems,Elsevier,https://dblp.org/db/journals/fgcs,C,Journal,1
21,Integration,"Integration, the VLSI Journal",Elsevier,https://dblp.org/db/journals/integration,C,Journal,1
22,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.org/db/journals/et/index.html,C,Journal,1
23,JGC,Journal of Grid computing,Springer,https://dblp.org/db/journals/grid/,C,Journal,1
24,RTS,Real-Time Systems,Springer,https://dblp.org/db/journals/rts/,C,Journal,1
25,TJSC,The Journal of Supercomputing,Springer,https://dblp.org/db/journals/tjs/,C,Journal,1
26,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,C,Journal,1
27,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,C,Journal,1
28,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,C,Journal,1
29,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,https://dblp.org/db/conf/ppopp/,A,Conference,1
30,FAST,USENIX Conference on File and Storage Technologies,USENIX,https://dblp.org/db/conf/fast/,A,Conference,1
31,DAC,Design Automation Conference,ACM,https://dblp.org/db/conf/dac/,A,Conference,1
32,HPCA,IEEE International Symposium on High Performance Computer Architecture,IEEE,https://dblp.org/db/conf/hpca/,A,Conference,1
33,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ ACM,https://dblp.org/db/conf/micro/index.html,A,Conference,1
34,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,https://dblp.org/db/conf/sc/,A,Conference,1
35,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,https://dblp.org/db/conf/asplos/,A,Conference,1
36,ISCA,International Symposium on Computer Architecture,IEEE/ ACM,https://dblp.org/db/conf/isca/,A,Conference,1
37,ACM SIGOPS ATC,ACM SIGOPS Annual Technical Conference,ACM,https://dblp.org/db/conf/usenix/index.html,A,Conference,1
38,EuroSys,European Conference on Computer Systems,ACM,https://dblp.org/db/conf/eurosys/,A,Conference,1
39,HPDC,The International ACM Symposium on High-Performance Parallel and Distributed Computing,IEEE,https://dblp.org/db/conf/hpdc/,A,Conference,1
40,SoCC,ACM Symposium on Cloud Computing,ACM,https://dblp.org/db/conf/cloud/,B,Conference,1
41,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,https://dblp.org/db/conf/spaa/,B,Conference,1
42,PODC,ACM Symposium on Principles of Distributed Computing,ACM,https://dblp.org/db/conf/podc/,B,Conference,1
43,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,https://dblp.org/db/conf/fpga/,B,Conference,1
44,CGO,The International Symposium on Code Generation and Optimization,IEEE/ ACM,https://dblp.org/db/conf/cgo/,B,Conference,1
45,DATE,"Design, Automation & Test in Europe",IEEE/ ACM,https://dblp.org/db/conf/date/,B,Conference,1
46,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,IEEE,https://dblp.org/db/conf/hotchips/index.html,B,Conference,1
47,CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.org/db/conf/cluster/,B,Conference,1
48,ICCD,International Conference on Computer Design,IEEE,https://dblp.org/db/conf/iccd/,B,Conference,1
49,ICCAD,International Conference on Computer-Aided Design,IEEE/ ACM,https://dblp.org/db/conf/iccad/,B,Conference,1
50,ICDCS,IEEE International Conference on Distributed Computing Systems,IEEE,https://dblp.org/db/conf/icdcs/,B,Conference,1
51,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,IEEE/ ACM,https://dblp.org/db/conf/codesisss/index.html,B,Conference,1
52,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,https://dblp.org/db/conf/hipeac/,B,Conference,1
53,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,https://dblp.org/db/conf/sigmetrics/,B,Conference,1
54,PACT,International Conference on Parallel Architectures and Compilation Techniques,IEEE/ ACM,https://dblp.org/db/conf/IEEEpact/,B,Conference,1
55,ICPP,International Conference on Parallel Processing,ACM,https://dblp.org/db/conf/icpp/,B,Conference,1
56,ICS,International Conference on Supercomputing,ACM,https://dblp.org/db/conf/ics/,B,Conference,1
57,VEE,International Conference on Virtual Execution Environments,ACM,https://dblp.org/db/conf/vee/,B,Conference,1
58,IPDPS,IEEE International Parallel & Distributed Processing Symposium,IEEE,https://dblp.org/db/conf/ipps/,B,Conference,1
59,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,https://dblp.org/db/conf/performance/,B,Conference,1
60,ITC,International Test Conference,IEEE,https://dblp.org/db/conf/itc/,B,Conference,1
61,LISA,Large Installation System Administration Conference,USENIX,https://dblp.org/db/conf/lisa/,B,Conference,1
62,MSST,Mass Storage Systems and Technologies,IEEE,https://dblp.org/db/conf/mss/,B,Conference,1
63,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,IEEE,https://dblp.org/db/conf/rtas/,B,Conference,1
64,Euro-Par,European Conference on Parallel and Distributed Computing Springer,Springer,https://dblp.org/db/conf/europar/,B,Conference,1
65,ISCAS,IEEE International Symposium on Circuits and Systems,IEEE,https://dblp.org/db/conf/iscas/,B,Conference,1
66,CF,ACM International Conference on Computing Frontiers,ACM,https://dblp.org/db/conf/cf,C,Conference,1
67,SYSTOR,ACM International Systems and Storage Conference,ACM,https://dblp.org/db/conf/systor/index.html,C,Conference,1
68,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,IEEE/ ACM,https://dblp.org/db/conf/nocs,C,Conference,1
69,ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",IEEE,https://dblp.org/db/conf/asap,C,Conference,1
70,ASP-DAC,Asia and South Pacific Design Automation Conference,IEEE/ ACM,https://dblp.org/db/conf/aspdac,C,Conference,1
71,ETS,IEEE European Test Symposium,IEEE,https://dblp.org/db/conf/ets/,C,Conference,1
72,FPL,International Conference on Field-Programmable Logic and Applications,IEEE,https://dblp.org/db/conf/fpl/,C,Conference,1
73,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE,https://dblp.org/db/conf/fccm/,C,Conference,1
74,GLSVLSI,Great Lakes Symposium on VLSI,IEEE/ ACM,https://dblp.org/db/conf/glvlsi/,C,Conference,1
75,ATS,IEEE Asian Test Symposium,IEEE,https://dblp.org/db/conf/ats/,C,Conference,1
76,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,https://dblp.org/db/conf/hpcc/,C,Conference,1
77,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",IEEE/ ACM,https://dblp.org/db/conf/hipc/index.html,C,Conference,1
78,MASCOTS,"International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,https://dblp.org/db/conf/mascots/,C,Conference,1
79,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,https://dblp.org/db/conf/ispa/,C,Conference,1
80,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",IEEE/ ACM,https://dblp.org/db/conf/ccgrid/,C,Conference,1
81,NPC,IFIP International Conference on Network and Parallel Computing,Springer,https://dblp.org/db/conf/npc/,C,Conference,1
82,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,https://dblp.org/db/conf/ica3pp/,C,Conference,1
83,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,https://dblp.org/db/conf/cases/index.html,C,Conference,1
84,FPT,International Conference on Field-Programmable Technology,IEEE,https://dblp.org/db/conf/fpt/,C,Conference,1
85,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,https://dblp.org/db/conf/icpads/,C,Conference,1
86,ISLPED,International Symposium on Low Power Electronics and Design,IEEE/ ACM,https://dblp.org/db/conf/islped/,C,Conference,1
87,ISPD,International Symposium on Physical Design,ACM,https://dblp.org/db/conf/ispd/,C,Conference,1
